,N,Type,Loss,method,metric,type_dens
250,500,lapl_gauss_KL_div_adapative_dantzig,0.0893698695112,A.D,KL,lapl_gauss
251,500,lapl_gauss_KL_div_adapative_dantzig,0.113087278265,A.D,KL,lapl_gauss
252,500,lapl_gauss_KL_div_adapative_dantzig,0.071865690593,A.D,KL,lapl_gauss
253,500,lapl_gauss_KL_div_adapative_dantzig,0.102538316056,A.D,KL,lapl_gauss
254,500,lapl_gauss_KL_div_adapative_dantzig,0.0974402650772,A.D,KL,lapl_gauss
255,500,lapl_gauss_KL_div_adapative_dantzig,0.0937745428445,A.D,KL,lapl_gauss
256,500,lapl_gauss_KL_div_adapative_dantzig,0.0974402650772,A.D,KL,lapl_gauss
257,500,lapl_gauss_KL_div_adapative_dantzig,0.0865126107158,A.D,KL,lapl_gauss
258,500,lapl_gauss_KL_div_adapative_dantzig,0.113087278265,A.D,KL,lapl_gauss
259,500,lapl_gauss_KL_div_adapative_dantzig,0.0910770899055,A.D,KL,lapl_gauss
260,500,lapl_gauss_KL_div_adapative_dantzig,0.117511197024,A.D,KL,lapl_gauss
261,500,lapl_gauss_KL_div_adapative_dantzig,0.112072227663,A.D,KL,lapl_gauss
262,500,lapl_gauss_KL_div_adapative_dantzig,0.0923414019117,A.D,KL,lapl_gauss
263,500,lapl_gauss_KL_div_adapative_dantzig,0.118682341297,A.D,KL,lapl_gauss
264,500,lapl_gauss_KL_div_adapative_dantzig,0.113087278265,A.D,KL,lapl_gauss
265,500,lapl_gauss_KL_div_adapative_dantzig,0.12235318544,A.D,KL,lapl_gauss
266,500,lapl_gauss_KL_div_adapative_dantzig,0.0865126107158,A.D,KL,lapl_gauss
267,500,lapl_gauss_KL_div_adapative_dantzig,0.0974402650772,A.D,KL,lapl_gauss
268,500,lapl_gauss_KL_div_adapative_dantzig,0.11554557728,A.D,KL,lapl_gauss
269,500,lapl_gauss_KL_div_adapative_dantzig,0.117511197024,A.D,KL,lapl_gauss
270,500,lapl_gauss_KL_div_adapative_dantzig,0.110012083195,A.D,KL,lapl_gauss
271,500,lapl_gauss_KL_div_adapative_dantzig,0.071865690593,A.D,KL,lapl_gauss
272,500,lapl_gauss_KL_div_adapative_dantzig,0.112072227663,A.D,KL,lapl_gauss
273,500,lapl_gauss_KL_div_adapative_dantzig,0.0893698695112,A.D,KL,lapl_gauss
274,500,lapl_gauss_KL_div_adapative_dantzig,0.0974402650772,A.D,KL,lapl_gauss
275,500,lapl_gauss_KL_div_adapative_dantzig,0.121547707277,A.D,KL,lapl_gauss
276,500,lapl_gauss_KL_div_adapative_dantzig,0.117511197024,A.D,KL,lapl_gauss
277,500,lapl_gauss_KL_div_adapative_dantzig,0.110012083195,A.D,KL,lapl_gauss
278,500,lapl_gauss_KL_div_adapative_dantzig,0.102538316056,A.D,KL,lapl_gauss
279,500,lapl_gauss_KL_div_adapative_dantzig,0.0903679554772,A.D,KL,lapl_gauss
280,500,lapl_gauss_KL_div_adapative_dantzig,0.0923414019117,A.D,KL,lapl_gauss
281,500,lapl_gauss_KL_div_adapative_dantzig,0.0865126107158,A.D,KL,lapl_gauss
282,500,lapl_gauss_KL_div_adapative_dantzig,0.0893698695112,A.D,KL,lapl_gauss
283,500,lapl_gauss_KL_div_adapative_dantzig,0.119624368569,A.D,KL,lapl_gauss
284,500,lapl_gauss_KL_div_adapative_dantzig,0.0937745428445,A.D,KL,lapl_gauss
285,500,lapl_gauss_KL_div_adapative_dantzig,0.118682341297,A.D,KL,lapl_gauss
286,500,lapl_gauss_KL_div_adapative_dantzig,0.0974401729653,A.D,KL,lapl_gauss
287,500,lapl_gauss_KL_div_adapative_dantzig,0.113087278265,A.D,KL,lapl_gauss
